player_id,player_name,minutes_played,shot_count_per_90_agg,goal_count_per_90_agg,xG_per_90_agg,on_target_per_90_agg,pass_count_per_90_agg,successfull_pass_count_per_90_agg,assists_per_90_agg,key_passes_per_90_agg,xA_per_90_agg,dribble_count_per_90_agg,successfull_dribbles_per_90_agg,long_carries_per_90_agg,foul_committed_count_per_90_agg,fouls_suffered_count_per_90_agg,penalites_won_per_90_agg,duel_count_per_90_agg,won_duels_per_90_agg,ball_recovery_count_per_90_agg,dispossessed_count_per_90_agg,clearance_count_per_90_agg,interception_count_per_90_agg,block_count_per_90_agg,tackle_count_per_90_agg,successful_tackles_per_90_agg,pressure_count_per_90_agg
4325,Thiago Motta,336,2.4107142857142856,0.26785714285714285,0.19480431080357147,0.8035714285714285,65.625,58.660714285714285,0.0,0.5357142857142857,0.042215281874999976,4.017857142857143,2.9464285714285716,8.839285714285714,2.6785714285714284,3.482142857142857,0.5357142857142857,4.017857142857143,0.8035714285714285,9.642857142857142,1.3392857142857142,4.017857142857143,0.26785714285714285,2.4107142857142856,1.607142857142857,0.5357142857142857,16.339285714285715
5216,Andrés Iniesta Luján,724,1.4917127071823204,0.0,0.11490866714088396,0.49723756906077343,55.93922651933702,48.60497237569061,0.3729281767955801,1.1187845303867403,0.19741482783149172,4.848066298342541,3.729281767955801,10.814917127071823,2.4861878453038675,3.604972375690608,0.7458563535911602,4.599447513812155,2.6104972375690605,8.453038674033149,2.6104972375690605,0.49723756906077343,0.7458563535911602,1.8646408839779005,3.356353591160221,1.8646408839779005,19.019337016574585
5503,Lionel Andrés Messi Cuccittini,911,3.7541163556531285,0.5927552140504939,0.47558658613830956,1.6794731064763995,35.56531284302964,29.341383095499452,0.09879253567508232,1.2843029637760703,0.1601358889791438,10.175631174533478,7.705817782656421,14.720087815587268,1.8770581778265643,4.840834248079035,0.3951701427003293,3.062568605927552,1.2843029637760703,7.804610318331504,3.7541163556531285,0.0,0.4939626783754117,1.5806805708013172,1.8770581778265643,0.9879253567508234,19.36333699231614
5558,Rafael Márquez Álvarez,1197,0.9022556390977443,0.0,0.05180295078947369,0.22556390977443608,64.43609022556392,53.68421052631579,0.0,0.37593984962406013,0.05149891575187969,0.3007518796992481,0.3007518796992481,10.601503759398495,1.8045112781954886,1.7293233082706765,1.1278195488721803,3.533834586466165,1.6541353383458646,3.7593984962406015,0.0,5.639097744360902,0.9774436090225563,0.9774436090225563,1.9548872180451127,0.22556390977443608,9.172932330827066
8193,Maximiliano Gastón López,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
15743,Henrik Larsson,459,4.509803921568627,0.9803921568627452,1.1739796570588235,1.7647058823529411,24.509803921568626,16.274509803921568,0.19607843137254904,1.1764705882352942,0.18645558588235295,2.549019607843137,1.5686274509803924,1.9607843137254903,1.3725490196078431,1.7647058823529411,0.9803921568627452,8.03921568627451,0.5882352941176471,2.549019607843137,2.7450980392156863,0.0,0.5882352941176471,1.5686274509803924,0.5882352941176471,0.3921568627450981,13.333333333333332
17797,Giovanni van Bronckhorst,508,0.8858267716535433,0.0,0.02659213665354329,0.3543307086614173,46.240157480314956,31.53543307086614,0.0,0.5314960629921259,0.046007591811023624,0.7086614173228346,0.5314960629921259,2.3031496062992125,3.366141732283465,1.0629921259842519,0.8858267716535433,5.4921259842519685,1.9488188976377951,4.251968503937007,0.17716535433070865,6.200787401574804,1.594488188976378,2.65748031496063,3.720472440944882,0.17716535433070865,17.716535433070867
19296,Mark van Bommel,595,2.571428571428571,0.0,0.10762969937142858,0.6050420168067228,45.831932773109244,35.2436974789916,0.0,1.6638655462184875,0.19795976083361344,1.361344537815126,0.9075630252100841,4.235294117647059,2.571428571428571,2.420168067226891,1.2100840336134455,2.722689075630252,1.2100840336134455,4.38655462184874,0.1512605042016807,1.0588235294117647,0.45378151260504207,1.0588235294117647,2.1176470588235294,0.0,13.764705882352942
19298,Samuel Eto''o Fils,1230,4.317073170731708,0.8780487804878049,0.6683704812146342,1.9024390243902438,33.8780487804878,25.53658536585366,0.2926829268292683,1.6097560975609757,0.2325408475097561,4.536585365853659,2.2682926829268295,7.536585365853659,1.170731707317073,1.7560975609756098,0.21951219512195122,1.6829268292682926,0.8048780487804879,4.75609756097561,1.975609756097561,0.07317073170731707,0.2926829268292683,0.5853658536585366,1.024390243902439,0.5853658536585366,13.463414634146341
19757,Anderson Luís de Souza,1094,1.4808043875685557,0.16453382084095064,0.05624094114625229,0.5758683729433273,66.88299817184644,52.97989031078611,0.3290676416819013,2.797074954296161,0.2800238402550274,5.0182815356489945,2.4680073126142594,10.283363802559416,3.5374771480804386,3.7842778793418645,0.6581352833638026,3.2084095063985374,1.1517367458866545,8.967093235831811,2.221206581352834,0.9872029250457038,0.8226691042047533,2.4680073126142594,2.221206581352834,0.4936014625228519,19.414990859232176
20125,Carles Puyol i Saforcada,1524,0.23622047244094488,0.0,0.030229611732283463,0.05905511811023622,51.90944881889764,44.29133858267717,0.0,0.23622047244094488,0.015600314368110236,0.5905511811023622,0.41338582677165353,7.854330708661418,0.6496062992125984,1.9488188976377951,1.1220472440944882,3.8976377952755903,1.6535433070866141,4.311023622047244,0.2952755905511811,8.031496062992126,0.8858267716535433,1.2401574803149606,2.3031496062992125,0.3543307086614173,11.279527559055119
