player_id,player_name,minutes_played,shot_count_per_90,goal_count_per_90,xG_per_90,on_target_per_90,pass_count_per_90,successfull_pass_count_per_90,assists_per_90,key_passes_per_90,xA_per_90,dribble_count_per_90,successfull_dribbles_per_90,long_carries_per_90,foul_committed_count_per_90,fouls_suffered_count_per_90,penalites_won_per_90,duel_count_per_90,won_duels_per_90,ball_recovery_count_per_90,dispossessed_count_per_90,clearance_count_per_90,interception_count_per_90,block_count_per_90,tackle_count_per_90,successful_tackles_per_90,pressure_count_per_90
3253,Adil Rami,2430,0.5925925925925926,0.0,0.05887428092592592,0.1111111111111111,40.7037037037037,32.37037037037037,0.037037037037037035,0.1851851851851852,0.014054464148148147,0.1851851851851852,0.1111111111111111,5.814814814814814,1.0,0.7037037037037037,0.2962962962962963,1.6296296296296295,0.4074074074074074,4.111111111111111,0.2592592592592593,4.037037037037037,1.0,1.3333333333333335,0.7037037037037037,0.14814814814814814,5.037037037037037
3486,Fernando Llorente Torres,1157,2.411408815903198,0.3111495246326707,0.377163085099395,1.166810717372515,30.259291270527225,19.913569576490925,0.23336214347450301,1.3223854796888506,0.1708060226188418,1.5557476231633536,0.7778738115816768,2.33362143474503,2.9559204840103717,0.6222990492653414,0.46672428694900603,6.923076923076923,0.700086430423509,2.178046672428695,1.3223854796888506,0.9334485738980121,0.700086430423509,1.0112359550561798,0.9334485738980121,0.23336214347450301,15.868625756266207
3497,Vicente Iborra De La Fuente,1741,1.6542217116599656,0.36186099942561745,0.35740581730614585,0.6203331418724871,33.60137851809305,23.107409534750143,0.10338885697874785,0.672027570361861,0.16153890539345203,0.5686387133831131,0.31016657093624356,2.688110281447444,2.5847214244686962,1.4474439977024698,0.8788052843193567,6.099942561746122,0.8788052843193567,2.688110281447444,0.8788052843193567,1.4474439977024698,0.9304997128087307,2.1711659965537047,1.4474439977024698,0.2584721424468696,14.060884549109707
3637,Grzegorz Krychowiak,2270,0.8722466960352422,0.0,0.07388486730396476,0.07929515418502203,48.76651982378854,40.6784140969163,0.0,0.19823788546255508,0.00733891963876652,0.6343612334801763,0.47577092511013214,6.2643171806167395,2.0616740088105727,2.458149779735683,0.8325991189427313,4.242290748898678,1.7841409691629957,5.352422907488987,0.5947136563876653,3.3303964757709252,2.933920704845815,1.9030837004405285,2.854625550660793,0.6740088105726871,14.352422907488986
5504,Éver Maximiliano David Banega,1730,2.0289017341040463,0.26011560693641617,0.1678169129150289,1.0404624277456647,65.44508670520231,50.77456647398844,0.10404624277456648,2.0809248554913293,0.2300445146184971,5.202312138728324,3.5895953757225434,12.433526011560692,1.6127167630057804,3.2774566473988442,0.31213872832369943,3.69364161849711,1.6127167630057804,6.815028901734104,2.5491329479768785,0.36416184971098264,1.092485549132948,0.8843930635838151,2.705202312138728,1.2485549132947977,18.6242774566474
5737,Steven N''Kemboanza Mike Christopher Nzonzi,1867,0.915907873594001,0.144617032672737,0.09339275477771827,0.43385109801821103,46.71130155329406,37.021960364220675,0.048205677557579,0.48205677557579,0.05505027878950188,0.8194965184788431,0.5302624531333691,5.158007498660954,1.7836100696304233,0.8194965184788431,0.192822710230316,3.663631494376004,1.44617032672737,3.85645420460632,0.674879485806106,2.4584895554365294,1.0605249062667381,2.217461167648634,1.9764327798607393,0.771290840921264,16.341724692019284
6349,Federico Julián Fazio,360,0.25,0.0,0.013694493999999998,0.25,29.75,21.25,0.0,0.25,0.01355928,0.5,0.5,3.2499999999999996,1.25,0.25,0.25,2.25,0.75,1.5,0.0,4.0,0.75,2.0,1.25,0.25,5.25
6356,Michael Krohn-Dehli,1665,1.3513513513513513,0.05405405405405405,0.17206356034594594,0.16216216216216217,48.0,39.08108108108108,0.16216216216216217,1.8378378378378377,0.18629260394594593,1.945945945945946,0.9189189189189189,8.594594594594595,1.6216216216216217,1.027027027027027,0.32432432432432434,2.8108108108108105,1.027027027027027,4.0540540540540535,1.2432432432432432,0.4864864864864865,1.0810810810810811,1.4594594594594597,1.3513513513513513,0.4324324324324324,14.432432432432432
6401,Kevin Gameiro,2085,3.1510791366906474,0.6906474820143885,0.7034703037553957,1.6402877697841727,18.949640287769785,13.81294964028777,0.12949640287769784,1.0359712230215827,0.20534085220143886,2.115107913669065,0.9064748201438848,5.352517985611511,0.6474820143884893,0.9928057553956835,0.302158273381295,4.143884892086331,0.5179856115107914,3.2805755395683454,2.0287769784172665,0.47482014388489213,0.5611510791366906,0.8201438848920863,0.6906474820143885,0.2158273381294964,14.158273381294963
6672,Jorge Andújar Moreno,1738,1.6570771001150748,0.05178365937859609,0.14473942016685845,0.4660529344073648,44.844649021864214,32.88262370540851,0.05178365937859609,0.4142692750287687,0.060609570296892984,1.760644418872267,0.9321058688147296,6.1104718066743375,1.8124280782508633,1.6570771001150748,0.4142692750287687,4.142692750287687,1.19102416570771,3.469505178365938,1.139240506329114,1.8124280782508633,1.7088607594936709,2.0713463751438437,2.2266973532796315,0.569620253164557,14.188722669735329
6718,Sergio Escudero Palomo,1172,0.9215017064846416,0.07679180887372014,0.06478356440273038,0.3839590443686007,50.52901023890785,37.244027303754265,0.0,1.2286689419795223,0.1399782123122867,1.689419795221843,1.075085324232082,6.757679180887372,1.9965870307167235,1.766211604095563,0.6911262798634812,4.684300341296928,1.2286689419795223,4.300341296928328,1.075085324232082,1.689419795221843,1.9965870307167235,2.7645051194539247,3.1484641638225255,0.537542662116041,15.35836177474403
