player_id,player_name,minutes_played,shot_count_per_90,goal_count_per_90,xG_per_90,on_target_per_90,pass_count_per_90,successfull_pass_count_per_90,assists_per_90,key_passes_per_90,xA_per_90,dribble_count_per_90,successfull_dribbles_per_90,long_carries_per_90,foul_committed_count_per_90,fouls_suffered_count_per_90,penalites_won_per_90,duel_count_per_90,won_duels_per_90,ball_recovery_count_per_90,dispossessed_count_per_90,clearance_count_per_90,interception_count_per_90,block_count_per_90,tackle_count_per_90,successful_tackles_per_90,pressure_count_per_90
4353,Aymeric Laporte,2255,0.7982261640798226,0.1197339246119734,0.11910494413037694,0.2394678492239468,53.36141906873614,43.98226164079823,0.03991130820399113,0.2394678492239468,0.05952869816407983,0.7583148558758316,0.43902439024390244,6.984478935698448,1.237250554323725,1.0776053215077606,0.6385809312638581,3.1130820399113084,1.0776053215077606,4.1906873614190685,0.31929046563192903,4.110864745011087,1.9955654101995568,1.7960088691796008,1.9157427937915743,0.3991130820399113,9.379157427937916
6386,Eneko Bóveda Altube,1468,0.3065395095367847,0.0,0.02072547674386921,0.0,58.61035422343324,44.81607629427793,0.0,0.6130790190735694,0.059970439679836514,1.103542234332425,0.7356948228882834,7.908719346049047,1.3487738419618527,0.49046321525885556,0.3678474114441417,4.475476839237057,1.2261580381471389,4.782016348773842,0.42915531335149865,4.291553133514987,2.8814713896457764,2.20708446866485,2.4523160762942777,0.5517711171662125,15.510899182561307
6388,Ander Iturraspe Derteano,701,0.5135520684736091,0.0,0.014123701027104137,0.12838801711840228,53.53780313837375,43.00998573466477,0.12838801711840228,0.5135520684736091,0.03481071368045649,0.6419400855920114,0.25677603423680456,5.777460770328102,2.82453637660485,1.0271041369472182,0.25677603423680456,5.1355206847360915,2.5677603423680457,5.777460770328102,1.1554921540656204,2.182596291012839,2.182596291012839,2.9529243937232525,2.82453637660485,0.25677603423680456,22.5962910128388
6389,Mikel San José Domínguez,2761,0.8475190148496922,0.06519377037305324,0.07118133460702644,0.22817819630568634,50.231800072437515,40.1593625498008,0.09779065555957986,0.4563563926113727,0.04736880789822528,0.9127127852227453,0.4889532777978993,4.270191959434987,1.9884099963781239,1.0431003259688518,0.4237595074248461,4.596160811300254,1.6298442593263311,5.117710974284679,0.6845345889170591,1.8906193408185439,2.2491850778703366,2.0862006519377037,2.3143788482433902,0.6845345889170591,19.427743571169866
6390,Markel Susaeta Laskurain,1914,1.1755485893416928,0.14106583072100312,0.10547722946238244,0.4702194357366771,36.442006269592476,25.956112852664578,0.3761755485893417,2.1630094043887147,0.24812685188087777,4.090909090909091,1.64576802507837,6.34796238244514,1.2225705329153604,1.8808777429467085,0.4702194357366771,4.137931034482759,1.2225705329153604,5.595611285266458,2.0689655172413794,0.3761755485893417,1.1755485893416928,2.0689655172413794,2.3510971786833856,0.6112852664576802,22.382445141065833
6391,Raúl García Escudero,2367,2.9657794676806084,0.2661596958174905,0.20307365370722436,0.7984790874524715,36.73003802281369,23.193916349809886,0.22813688212927755,0.8745247148288974,0.13492390627376424,1.6349809885931559,0.7984790874524715,4.296577946768061,3.041825095057034,3.193916349809886,1.2927756653992395,7.034220532319392,2.0532319391634983,4.4106463878327,2.0152091254752853,1.102661596958175,1.4068441064638781,2.2813688212927756,2.8136882129277563,0.8745247148288974,24.220532319391634
6392,Íñigo Lekue Martínez,1158,0.8549222797927462,0.07772020725388601,0.04487350064766839,0.31088082901554404,45.854922279792746,34.35233160621762,0.0,0.8549222797927462,0.0454678735492228,3.5751295336787563,1.3989637305699483,8.860103626943005,1.0103626943005182,0.7772020725388601,0.31088082901554404,5.284974093264249,2.1761658031088085,5.129533678756477,1.5544041450777202,1.0103626943005182,1.9430051813471503,2.5647668393782386,3.3419689119170988,1.3212435233160622,16.398963730569946
6393,Iñaki Williams Arthuer,1623,2.4953789279112755,0.4436229205175601,0.19314832358595196,0.8872458410351202,26.894639556377083,16.635859519408502,0.16635859519408502,0.7208872458410351,0.13720538722735676,3.1608133086876156,1.7744916820702403,5.767097966728281,1.2199630314232903,2.6062846580406656,0.38817005545286504,3.327171903881701,0.8317929759704252,5.046210720887245,2.4399260628465806,0.16635859519408502,0.8872458410351202,1.9963031423290203,1.3308687615526802,0.4436229205175601,15.914972273567468
6394,Aritz Aduriz Zubeldia,2777,3.1112711559236583,0.6481814908174289,0.6065976589207779,1.5880446525027008,24.59848757652143,15.653583003240907,0.19445444724522865,1.0370903853078863,0.125671386957148,2.0741807706157727,0.8102268635217861,3.8566798703637017,2.041771696074901,2.23622614332013,1.1991357580122435,5.509542671948145,0.5185451926539432,3.0140439323010444,2.398271516024487,0.7454087144400432,0.2268635217861001,1.1343176089305005,0.7454087144400432,0.19445444724522865,10.14404033129276
6396,Beñat Etxebarria Urkiaga,2894,0.9329647546648238,0.031098825155494125,0.0371834686959226,0.27988942639944714,67.08016586040083,51.3752591568763,0.1243953006219765,1.95922598479613,0.13462629206081547,1.461644782308224,0.8396682791983413,6.437456807187284,1.6171389080856944,2.145818935729095,0.5908776779543884,3.358673116793365,1.6171389080856944,7.028334485141673,1.2128541810642708,0.37318590186592954,1.8037318590186593,1.7726330338631653,2.4257083621285416,0.7463718037318591,19.934346924671733
6576,Gorka Iraizoz Moreno,3330,0.0,0.0,0.0,0.0,36.729729729729726,23.594594594594593,0.0,0.08108108108108109,0.004549090324324325,0.0,0.0,4.108108108108108,0.027027027027027025,0.08108108108108109,0.05405405405405405,0.0,0.0,5.324324324324325,0.0,0.08108108108108109,0.0,0.0,0.0,0.0,0.027027027027027025
